title,rating,ratingLevel,release year,user rating score,Рейтинг КП,Голоса КП,Рейтинг IMDb,Голоса IMDb,Жанры,Страны
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,2010,74.0,6.941,3949,6.6,1666,"мультфильм, короткометражка, боевик, комедия, приключения, семейный",США
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,93.0,7.603,74671,8.4,128007,"мультфильм, фантастика, фэнтези, боевик, драма, приключения",США
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,93.0,7.603,74671,8.4,128007,"мультфильм, фантастика, фэнтези, боевик, драма, приключения",США
Phineas and Ferb,TV-G,Suitable for all ages.,2012,89.0,7.657,85371,8.1,60318,"мультфильм, мюзикл, фантастика, боевик, комедия, семейный","США, Канада, Китай, Тайвань, Корея Южная"
The Batman,TV-Y7,Suitable for children ages 7 and older,2007,77.0,7.165,200474,7.8,853790,"детектив, криминал, драма, боевик",США
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2003,66.0,6.051,199760,6.1,480642,"фантастика, боевик, фэнтези","США, Канада, Великобритания"
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2010,73.0,5.462,12791,6.6,25197,"фантастика, боевик, приключения, семейный","США, Япония"
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,2012,71.0,8.051,16983,8.6,47668,"мультфильм, фантастика, фэнтези, боевик, мелодрама, криминал, приключения",США
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,71.0,6.212,2856,7.1,2589,"мультфильм, фэнтези, комедия",США
The Jungle Book,PG,for some sequences of scary action and peril,2016,97.0,7.149,125003,7.4,293404,"фэнтези, драма, приключения, семейный, мультфильм","Великобритания, США, Новая Зеландия, Франция, Канада, Индия"
The Angry Birds Movie,PG,for rude humor and action,2016,92.0,6.337,149632,6.3,107664,"мультфильм, боевик, комедия, приключения, семейный","Финляндия, США"
Talking Tom and Friends,TV-G,Suitable for all ages.,2016,61.0,8.823,42334,6.0,685,"мультфильм, детский, приключения, комедия","Кипр, Великобритания, Австрия, Таиланд, Испания, США, Словения, Сингапур"
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,1999,67.0,6.563,1629,6.3,14890,"мультфильм, комедия, семейный, спорт","США, Австралия, Сербия и Черногория"
The Iron Giant,PG,fantasy action and mild language,1999,83.0,8.123,129708,8.1,230159,"мультфильм, фантастика, боевик, комедия, приключения, семейный","США, Дания"
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2015,67.0,0.0,221,7.4,540,"мультфильм, боевик",Германия
Goosebumps,TV-Y7,Suitable for children ages 7 and older,1998,88.0,6.21,60813,6.3,95876,"фэнтези, комедия, приключения, семейный","США, Австралия"
Goosebumps,TV-Y7,Suitable for children ages 7 and older,1998,88.0,6.21,60813,6.3,95876,"фэнтези, комедия, приключения, семейный","США, Австралия"
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,2000,74.0,6.745,32017,7.6,50073,"аниме, мультфильм, комедия, приключения, фэнтези",Япония
Ratchet and Clank,PG,action and some rude humor,2016,74.0,0.0,2,4.5,54,"драма, комедия",США
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,78.0,5.822,2693,6.5,2624,"мультфильм, фэнтези, боевик, комедия, детектив, приключения, семейный, вестерн","США, Индия, Канада"
PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2015,56.0,6.745,32017,7.6,50073,"аниме, мультфильм, комедия, приключения, фэнтези",Япония
Growing Up Wild,G,Unknown,2016,80.0,8.292,385,7.1,445,документальный,США
The Little Rascals,PG,some rude dialogue,1994,86.0,7.228,4248,6.3,58426,"мелодрама, комедия, семейный",США
Flubber,PG,slapstick action and mild language,1997,83.0,6.763,23614,5.3,95132,"фантастика, комедия, семейный",США
Tarzan,G,General Audiences. Suitable for all ages.,1999,95.0,7.658,68935,7.3,249241,"мультфильм, драма, комедия, приключения, семейный, музыка","США, Япония"
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,2000,95.0,7.94,132288,7.4,227688,"мультфильм, фэнтези, комедия, приключения, семейный","США, Япония, Франция"
Lilo & Stitch,PG,mild sci-fi action,2002,95.0,7.848,145386,7.3,213748,"мультфильм, фантастика, фэнтези, драма, комедия, приключения, семейный","США, Япония"
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",2004,82.0,5.811,22088,5.2,65427,"ужасы, фантастика, фэнтези, комедия, детектив, приключения, семейный",США
The Pacifier,PG,"action violence, language and rude humor",2005,91.0,6.67,141288,5.6,101491,"боевик, драма, комедия, семейный",США
Bee Movie,PG,mild suggestive humor,2007,94.0,6.192,42070,6.1,181356,"мультфильм, драма, комедия, приключения, семейный","США, Канада"
Kung Fu Panda,PG,sequences of martial arts action,2008,91.0,7.813,361388,7.6,527792,"мультфильм, фэнтези, боевик, комедия, приключения, семейный","США, Великобритания"
Super Why!,TV-Y,Suitable for all ages.,2015,68.0,0.0,160,6.1,1264,"мультфильм, семейный","Канада, США"
Jessie,TV-G,Suitable for all ages.,2015,88.0,6.717,8472,6.1,19747,"драма, комедия, семейный",США
Lab Rats,TV-Y7,Suitable for children ages 7 and older,2016,85.0,6.823,3757,6.7,7694,"фантастика, боевик, драма, комедия, семейный, триллер, криминал",США
Pocoyo,TV-Y,Suitable for all ages.,2007,67.0,7.214,2254,7.1,2332,"мультфильм, комедия, детский","Испания, Великобритания, США"
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2017,88.0,7.872,11148,8.2,9114,"мультфильм, фэнтези, боевик, комедия, приключения, семейный",США
Little Einsteins,TV-Y,Suitable for all ages.,2007,70.0,5.03,1336,6.3,2659,"мультфильм, мюзикл, фантастика, комедия, приключения, семейный, музыка, фэнтези","США, Великобритания, Канада"
Hotel Transylvania 2,PG,"some scary images, action and rude humor",2015,93.0,7.171,257735,6.6,148672,"мультфильм, фэнтези, комедия, семейный","США, Канада"
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,2017,72.0,5.633,845,5.8,917,"мультфильм, короткометражка, комедия, приключения, семейный","США, Корея Южная, Канада, Филиппины"
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",2015,90.0,6.21,60813,6.3,95876,"фэнтези, комедия, приключения, семейный","США, Австралия"
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",2015,90.0,6.21,60813,6.3,95876,"фэнтези, комедия, приключения, семейный","США, Австралия"
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,2016,92.0,7.261,170001,7.1,192229,"мультфильм, фэнтези, боевик, комедия, приключения, семейный","США, Китай"
Open Season: Scared Silly,PG,rude humor and some action,2015,72.0,4.744,10637,5.0,3953,"мультфильм, комедия, приключения, семейный","США, Канада"
Alice Through the Looking Glass,PG,fantasy action/peril and some language,2016,96.0,6.731,172145,6.2,123373,"фэнтези, детектив, приключения, семейный","США, Таиланд, Великобритания, Индия, Канада"
Goldie & Bear,TV-Y,Suitable for all ages.,2016,77.0,0.0,289,6.1,439,"мультфильм, фэнтези, семейный, музыка",США
Antz,PG,moderate adult language and intense action,1998,80.0,6.829,27420,6.5,166225,"мультфильм, комедия, приключения, семейный","США, Великобритания"
Chicken Run,G,General Audiences. Suitable for all ages.,2000,80.0,6.957,62043,7.1,213388,"мультфильм, драма, комедия, приключения, семейный","Великобритания, Франция, США"
Spy Kids 3: Game Over,PG,action sequences and peril,2003,64.0,5.257,99856,4.4,66730,"фантастика, боевик, комедия, приключения, семейный",США
Mulan 2,G,General Audiences. Suitable for all ages.,2004,85.0,6.755,28523,5.6,29913,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный",США
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,2005,85.0,6.702,12964,6.2,18003,"мультфильм, фантастика, драма, комедия, семейный","США, Австралия"
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,2008,56.0,6.391,2760,6.2,3265,"мультфильм, короткометражка, фэнтези, комедия, семейный, музыка",США
The Magic School Bus,TV-Y,Suitable for all ages.,1997,81.0,7.257,2574,7.8,11690,"мультфильм, фантастика, фэнтези, комедия, приключения, семейный","Канада, США"
